25-12-2018 17:06:53,Random,CPUtoGPU
GPU_Kernel_Init,GPU_Kernel_Launch,GPU_Map_Copy,CPU_Map_Init,CPU_Texture_Init,Bitmap_Map_Build,Bitmap_File_Build
-1,0.482144,0.290208,-1,15.4241,-1,12.4419
-1,0.4616,1.06733,-1,15.4979,-1,12.11
-1,0.487936,1.05341,-1,15.5134,-1,12.2978
-1,0.467104,0.388064,-1,15.6171,-1,12.1772
-1,0.478656,1.08013,-1,15.6779,-1,12.5428
-1,0.941856,1.07293,-1,16.3178,-1,12.3599
-1,0.483712,1.05786,-1,15.828,-1,12.5957
-1,0.48032,1.05962,-1,15.5716,-1,12.4348
-1,0.479584,1.05808,-1,15.8119,-1,12.3221
-1,0.479872,1.05603,-1,15.6834,-1,12.2148
-1,0.31024,1.07642,-1,15.7799,-1,14.5026
-1,0.4904,1.0567,-1,15.5256,-1,12.2548
-1,0.483616,1.06739,-1,15.4857,-1,12.2559
-1,0.482688,0.408736,-1,15.5113,-1,12.0735
-1,0.496,0.4104,-1,15.4737,-1,12.084
-1,0.463808,0.378304,-1,15.4761,-1,12.1475
-1,0.4752,0.40432,-1,15.4903,-1,12.157
-1,0.495776,0.427872,-1,15.4717,-1,12.2876
-1,0.464256,1.07021,-1,15.7469,-1,12.2433
-1,0.4896,1.05312,-1,15.4548,-1,12.0154
-1,1.38118,1.07146,-1,15.458,-1,12.163
-1,0.48272,1.05622,-1,15.4458,-1,12.5745
-1,0.493312,1.07056,-1,15.5144,-1,12.1951
-1,0.495488,1.0648,-1,15.5164,-1,12.0506
-1,0.922496,1.06224,-1,15.5516,-1,12.4753
-1,1.05546,0.41696,-1,15.5462,-1,12.3426
-1,0.4832,0.41936,-1,15.5865,-1,12.6051
-1,0.486944,0.405536,-1,15.4981,-1,12.2146
-1,0.487808,1.06714,-1,15.45,-1,12.0705
-1,0.478816,1.05872,-1,15.4332,-1,12.005
-1,0.480224,0.452032,-1,15.4502,-1,12.0588
-1,0.478784,0.415808,-1,15.4868,-1,12.0539
-1,0.498912,0.409184,-1,15.4623,-1,12.1259
-1,0.49072,0.430112,-1,15.5025,-1,12.3582
-1,0.497632,0.40512,-1,15.5234,-1,12.3078
-1,0.480512,1.05504,-1,15.4212,-1,12.1326
-1,0.472736,1.05587,-1,15.4038,-1,12.149
-1,2.15712,1.08403,-1,16.4549,-1,12.9683
-1,0.487136,1.06614,-1,15.4073,-1,12.1334
-1,0.477024,1.06054,-1,15.4256,-1,12.1764
-1,0.474592,0.29424,-1,15.4431,-1,12.1537
-1,0.475648,0.290016,-1,15.5814,-1,12.3233
-1,0.476032,0.263776,-1,15.4528,-1,12.3826
-1,0.487872,0.286304,-1,15.4443,-1,12.3398
-1,0.487456,0.283808,-1,15.4399,-1,12.3208
-1,0.456544,0.296672,-1,15.4478,-1,12.2659
-1,0.48368,0.289856,-1,15.5198,-1,12.3128
-1,0.469408,0.309536,-1,15.4111,-1,12.2318
-1,0.475904,0.288768,-1,15.4027,-1,12.2746
-1,0.481888,0.289184,-1,15.3845,-1,12.5433
